path,subset,corrupt,width,height,pixels,filesize_kb,mean_r,mean_g,mean_b,brightness,contrast_std,metadata_blocks
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00036.jpg,28x28_images,False,28,28,784,18.28125,211.07271,202.38904,211.01785,208.15987,52.71535,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00037.jpg,28x28_images,False,28,28,784,18.24609375,213.16965,208.17091,211.2028,210.8478,53.034336,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00038.jpg,28x28_images,False,28,28,784,18.1337890625,214.97832,211.6454,214.1046,213.57611,54.700428,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00039.jpg,28x28_images,False,28,28,784,18.1728515625,206.02296,200.85841,203.46811,203.44983,59.973797,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00040.jpg,28x28_images,False,28,28,784,18.142578125,180.09949,174.71428,173.94771,176.25383,72.15083,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00041.jpg,28x28_images,False,28,28,784,18.119140625,199.6875,196.67984,198.52551,198.29762,63.29807,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00042.jpg,28x28_images,False,28,28,784,18.1494140625,193.34566,188.4426,190.6046,190.79762,64.15347,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00043.jpg,28x28_images,False,28,28,784,11.837890625,207.08546,206.21939,200.58035,204.6284,60.663223,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00044.jpg,28x28_images,False,28,28,784,18.0849609375,197.82271,198.93495,195.27678,197.34482,61.23208,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00045.jpg,28x28_images,False,28,28,784,18.1240234375,189.85204,192.1875,190.41199,190.81718,61.563,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00046.jpg,28x28_images,False,28,28,784,18.1259765625,185.17346,186.22577,179.25638,183.55186,69.100174,4
