motif_name,Artisan Latar Tanahan.jpg,Batik Artisan with Seritan Background.jpg,Cap Go Meh with Pagi-Sore Background.jpg,Cranes with Bledak Background.jpg,Farmer and Fisherman with Latohan Background.jpg,Fern with Bledak Background.jpg,Fruits with Bledak Pasiran Background.jpg,Gunung Ringgit Blue Bouquet.jpg,Gunung Ringgit Bouquet.jpg,Gunung Ringgit Kopi Lelet.jpg,Gunung Ringgit Peacocks.jpg,Gunung Ringgit Pink Bouquet.jpg,Isen Cloth 1.jpg,Isen Cloth 2.jpg,Isen Cloth 3.jpg,Isen Cloth 4.jpg,Isen Cloth 5.jpg,Kawis With Pagi-Sore Kricak Background.jpg,King of the Jungle and Trees.jpg,Latohan Dragon.jpg,Latohan and farmer.jpg,Latohan with Chinese Letter.jpg,Latohan with chrysanthemum.jpg,Lawang Ombo Kilin Latar Bledak.jpg,Monkey Pod Tree & Peacock with Lereng.jpg,Pagi-Sore Temple and Bamboo.jpg,Phoenix With Green Lotus.jpg,Phoenix and Brown Lotus.jpg,Phoenix and Lotus.jpg,Phoenix in Bright Green.jpg,Phoenix in Purple.jpg,Seaweed or latoh.jpg,Sekar Jagad Chinese Character.jpg,"Temple, Lantern & Dragon with Bledak Background.jpg",The Twelve Zodiacs with Red Tambal Background.jpg,Water Animals with Sekar Jagad Background.jpg,Windmill with Tambal.jpg,Withering Teak in Blue.jpg,Withering Teak in Red.jpg
Gunung Ringgit,0,0,0,0,0,0,0,105,413,24,130,66,17,12,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,16,0,0,0,0,0
Kricak / Watu Pecah,0,0,0,0,0,99,0,0,0,0,0,0,99,0,0,59,0,290,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,87,0,265,56
Latohan,0,0,17,0,25,0,0,0,0,0,0,0,0,0,0,64,232,0,0,0,327,116,47,0,0,47,0,0,0,0,0,328,0,0,170,0,0,0,0
Nyuk Pitu,0,0,0,166,0,0,0,0,0,0,0,0,0,163,70,0,0,0,0,270,0,0,0,0,0,0,12,17,400,89,104,0,0,0,0,0,0,0,0
Seritan,120,697,0,0,0,0,7,0,0,0,0,0,0,0,35,123,0,0,29,47,0,0,0,144,0,0,0,0,0,0,0,0,63,0,0,0,63,0,0
