dataset,rel_path,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_hue,std_hue,hue_entropy,mean_saturation,mean_value,lab_L,lab_a,lab_b,colorfulness
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00043.jpg,207.08546447753906,206.21939086914062,200.58035278320312,60.64701461791992,59.8763427734375,61.252662658691406,0.26447394490242004,0.2639499008655548,-3.1147004816615764,0.09057067334651947,0.8290166258811951,82.12632751464844,-0.49227380752563477,2.9643754959106445,21.14180564880371
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00001.jpg,199.89923095703125,192.7755126953125,185.48214721679688,65.96142578125,71.732177734375,77.209228515625,0.1661091297864914,0.2465178668498993,-6.679483009192968,0.11727383732795715,0.7848640084266663,77.35717010498047,1.5438798666000366,4.97073221206665,18.087444305419922
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00042.jpg,193.3456573486328,188.44259643554688,190.60459899902344,62.849082946777344,67.14897155761719,62.25703430175781,0.4092291295528412,0.35248297452926636,-2.9840436167209075,0.10065030306577682,0.7752501964569092,76.01349639892578,2.581192970275879,-0.6549959778785706,19.02591323852539
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00002.jpg,214.19259643554688,209.14796447753906,207.76658630371094,57.78147506713867,62.855873107910156,62.90863037109375,0.3232008218765259,0.3436594009399414,-3.471741968619964,0.0822022408246994,0.8472589254379272,83.51739501953125,1.776038646697998,1.3727326393127441,16.14698028564453
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00044.jpg,197.8227081298828,198.93495178222656,195.2767791748047,65.53015899658203,60.57997512817383,57.2444953918457,0.2597348093986511,0.25780296325683594,-3.12761486868704,0.12460118532180786,0.8122899532318115,79.44217681884766,-0.43054211139678955,1.6149779558181763,28.582216262817383
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00003.jpg,207.2461700439453,201.10714721679688,203.0765380859375,60.54661178588867,66.05477905273438,61.800594329833984,0.33886516094207764,0.34345126152038574,-3.51756622204269,0.09368275851011276,0.8268908262252808,80.75697326660156,2.9047789573669434,-0.32288435101509094,18.9174747467041
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00045.jpg,189.85203552246094,192.1875,190.4119873046875,65.96329498291016,61.57455062866211,56.78427505493164,0.3249298334121704,0.26998579502105713,-2.1236646077687897,0.13945822417736053,0.7918667197227478,76.94003295898438,-0.3541031777858734,0.44701462984085083,30.877944946289062
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00004.jpg,216.09439086914062,209.88392639160156,213.03826904296875,52.921424865722656,58.00717544555664,52.299407958984375,0.40145331621170044,0.3518299460411072,-3.5095603695721067,0.09164973348379135,0.8648960590362549,84.19081115722656,3.122591018676758,-0.9426536560058594,21.58612060546875
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00050.jpg,200.2908172607422,202.25509643554688,197.7244873046875,65.46311950683594,61.15342330932617,59.17156219482422,0.28248605132102966,0.26198330521583557,-2.539685833489785,0.1101275235414505,0.8176571726799011,80.49153900146484,-1.156753659248352,1.9457708597183228,24.738250732421875
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00005.jpg,208.78189086914062,201.56504821777344,209.04464721679688,54.200584411621094,59.47693634033203,51.620025634765625,0.46742475032806396,0.3403792679309845,-3.2308514890079283,0.10568135231733322,0.8461735248565674,81.38467407226562,4.369084358215332,-3.02089262008667,23.7319278717041
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00006.jpg,219.3890380859375,212.92984008789062,216.42984008789062,46.63774871826172,51.779056549072266,46.25291061401367,0.4024724066257477,0.34919461607933044,-3.3371617092262906,0.08681131899356842,0.8780262470245361,85.44170379638672,3.183042049407959,-1.0504039525985718,21.147642135620117
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00007.jpg,200.17474365234375,194.15943908691406,196.71046447753906,65.5940933227539,70.9884033203125,65.84142303466797,0.402826189994812,0.35975784063339233,-3.1115716447260997,0.09928560256958008,0.79767906665802,78.10283660888672,3.0272703170776367,-0.7138765454292297,18.44236183166504
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00008.jpg,191.051025390625,184.6517791748047,182.9515380859375,70.87537384033203,76.13079833984375,76.56658172607422,0.311777263879776,0.3468506634235382,-4.058439420529108,0.13215433061122894,0.7576530575752258,74.30823516845703,2.411160469055176,1.7656205892562866,18.940855026245117
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00009.jpg,209.2206573486328,203.88137817382812,204.99362182617188,59.2428092956543,64.22413635253906,61.3653678894043,0.35239604115486145,0.3412213921546936,-3.082463231260444,0.08980128169059753,0.8342536687850952,81.71556091308594,2.4197592735290527,0.036694448441267014,18.579378128051758
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00010.jpg,195.02296447753906,187.9961700439453,186.33163452148438,68.03868103027344,73.20758819580078,73.08821868896484,0.32979148626327515,0.3531773090362549,-3.6505977634841473,0.12389366328716278,0.7747148871421814,75.70624542236328,2.643892765045166,1.7914743423461914,20.442462921142578
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00011.jpg,206.4528045654297,201.56759643554688,206.20025634765625,57.72610855102539,62.74989318847656,58.64187240600586,0.3775516748428345,0.3375299572944641,-3.4099338116631674,0.09570793062448502,0.8347138166427612,81.00447845458984,2.991367816925049,-1.7840005159378052,21.67967987060547
