motif_name,KUB Srikandi,Katrin Bee,Lumintu Batik,Pesona Canting,Pusaka Beruang,Sekar Kencana,VJ Basiroen artwork
Gunung Ringgit,0,0,130,698,12,0,24
Kricak / Watu Pecah,349,0,0,235,420,0,0
Latohan,296,0,0,259,47,113,658
Nyuk Pitu,622,166,0,2,233,268,0
Seritan,171,0,0,1059,35,63,0
