group_id,n,md5,files,datasets,handling
md5_92de9c4e5d,2,92de9c4e5dcdfc6ac1df5e52b43d166b,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00009.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00009.jpg,Batik_Lasem,retain one canonical copy (B)
md5_9daff2d449,2,9daff2d44981970253ca8511422421b3,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00010.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00010.jpg,Batik_Lasem,retain one canonical copy (B)
md5_a3bede3118,2,a3bede3118149fbdf971f2fa5ce95a4e,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00013.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00013.jpg,Batik_Lasem,retain one canonical copy (B)
md5_a93c131403,2,a93c13140381f1fa04faa0f1dc4096ce,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00025.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00025.jpg,Batik_Lasem,retain one canonical copy (B)
md5_b2a3e5e8bb,2,b2a3e5e8bbb667346b6a0f7d9fce9f8b,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00040.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00040.jpg,Batik_Lasem,retain one canonical copy (B)
md5_b8643b0765,2,b8643b0765bfeedaf609a63a4db8d857,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00015.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00015.jpg,Batik_Lasem,retain one canonical copy (B)
md5_b914adcec5,2,b914adcec5534525d8d3bde111064e8c,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00012.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00012.jpg,Batik_Lasem,retain one canonical copy (B)
md5_bbf6173dea,2,bbf6173dea81adf145f551e9252ca1b5,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00006.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00006.jpg,Batik_Lasem,retain one canonical copy (B)
md5_c1cdd31a5a,2,c1cdd31a5a89e366fb4c00fbbd003e60,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00001.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00001.jpg,Batik_Lasem,retain one canonical copy (B)
md5_c34c73344c,2,c34c73344c0344c044e247cc6a99f231,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00030.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00030.jpg,Batik_Lasem,retain one canonical copy (B)
md5_c35f1e8b6f,2,c35f1e8b6f890a95dac5d4c58dca2f56,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00007.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00007.jpg,Batik_Lasem,retain one canonical copy (B)
md5_c951decb4a,2,c951decb4a5543e196b5265ea152386d,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00021.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00021.jpg,Batik_Lasem,retain one canonical copy (B)
md5_cbcd357bbe,2,cbcd357bbe823f5977210f6ab95c822b,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00022.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00022.jpg,Batik_Lasem,retain one canonical copy (B)
md5_cc76514c72,2,cc76514c72e2ba68fb39cafa19ac0d29,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00020.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00020.jpg,Batik_Lasem,retain one canonical copy (B)
md5_d039482c7d,2,d039482c7d67cda8c0d53cf78a0979a7,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00032.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00032.jpg,Batik_Lasem,retain one canonical copy (B)
md5_e183883f6e,2,e183883f6e848aa35d68f07707b7388b,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00005.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00005.jpg,Batik_Lasem,retain one canonical copy (B)
md5_e26d5f7978,2,e26d5f7978c93083b883fc71bccdb999,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00042.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00042.jpg,Batik_Lasem,retain one canonical copy (B)
md5_f3edcec64b,2,f3edcec64b0eb244a909e08ad2756e23,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00035.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00035.jpg,Batik_Lasem,retain one canonical copy (B)
md5_f5666fb0c5,2,f5666fb0c56aeb38580ab838752f5689,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00018.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00018.jpg,Batik_Lasem,retain one canonical copy (B)
md5_f60fbb91d3,2,f60fbb91d33c44a6b19bf8889bd53d56,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00026.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00026.jpg,Batik_Lasem,retain one canonical copy (B)
md5_f7f9c78e50,2,f7f9c78e509f9dbf16fafed2c70a50a6,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00023.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00023.jpg,Batik_Lasem,retain one canonical copy (B)
md5_fa59878781,2,fa59878781372bd3a5bc068179f15034,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00002.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00002.jpg,Batik_Lasem,retain one canonical copy (B)
md5_fd2ea85fdd,2,fd2ea85fddc3117c83c4ac121ffd735b,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00044.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00044.jpg,Batik_Lasem,retain one canonical copy (B)
md5_fd437dd4f6,2,fd437dd4f634c6b588d990781a9af016,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00036.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00036.jpg,Batik_Lasem,retain one canonical copy (B)
md5_ffa91262d3,2,ffa91262d386afb27fb70f271832d8e0,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00041.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00041.jpg,Batik_Lasem,retain one canonical copy (B)
