dataset,n,mean_w,mean_h,brightness,contrast,saturation,colorfulness,edge_density,gray_entropy
Batik_Lasem,94,28.0,28.0,203.58957022808968,0.2401028058313309,0.10125827321663816,21.109808840650192,0.24563069908814592,6.141582765528814
NeuralLoom,66,1110.7575757575758,1117.378787878788,129.00886593442974,0.11012558023812193,0.41157756548262003,48.20970385002367,0.050846952306026684,5.697527748018054
