dataset,rel_path,texture_reliable,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniformity,gabor_mean,gabor_std,fft_highfreq_ratio,edge_density,spatial_entropy,pattern_density,symmetry_h,symmetry_v
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00043.jpg,False,33.70529590436998,0.4726841984717335,0.3663872926344378,0.6974060515108733,3.1644326274874874,0.12123203873386088,0.019504982978105545,0.00367805827409029,0.2539310157299042,0.21683673469387754,3.542390039348512,0.21683673469387754,0.851885199546814,0.7669978141784668
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00001.jpg,False,41.45000489907906,0.4813017042749124,0.3917833025758385,0.7310466099634447,3.1639522344554676,0.12190558621407747,0.019407544285058975,0.0020057542715221643,0.325996458530426,0.21301020408163265,3.7229981587549847,0.21301020408163265,0.8866642713546753,0.7716285586357117
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00042.jpg,False,41.35853909465024,0.40886873535400026,0.27690525788603826,0.6804982126678523,3.215231967472822,0.11531653477717618,0.022272013127803802,0.003918966744095087,0.2988741397857666,0.2538265306122449,3.842873229185543,0.2538265306122449,0.8053182363510132,0.7760561108589172
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00002.jpg,False,36.50914902998236,0.49261469877168906,0.36891771550870706,0.6890418148895956,3.1721667078506703,0.12126783111203665,0.019426580518484116,0.00046819073031656444,0.29640501737594604,0.21556122448979592,3.5961799747700627,0.21556122448979592,0.8246898055076599,0.7962876558303833
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00044.jpg,False,32.711934156378604,0.4058440858637469,0.2814057185853884,0.7161797110307394,3.144426709245979,0.12391321324448147,0.01899164356291294,0.0008868417353369296,0.253406286239624,0.22193877551020408,3.7494809002480016,0.22193877551020408,0.807205080986023,0.7984235882759094
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00003.jpg,False,42.71538800705468,0.4501317526077434,0.34004217888991356,0.6584424081559161,3.2174838754413075,0.11462997188671387,0.022392721846699715,0.0023730893153697252,0.2990925908088684,0.24362244897959184,3.6159393660523302,0.24362244897959184,0.7868236303329468,0.7845175266265869
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00045.jpg,False,34.132079169116196,0.35146612017397116,0.20484516188246843,0.7083621614736203,3.153483176344333,0.12363663577675967,0.019364293664693832,0.0006209514103829861,0.2468099296092987,0.22831632653061223,3.8767315377670104,0.22831632653061223,0.7712676525115967,0.7934062480926514
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00004.jpg,False,49.06178963354891,0.4300170492747074,0.31716876449712184,0.4935352279712285,3.17099223511972,0.1218990785089546,0.025327526032924652,0.0024517166893929243,0.33630257844924927,0.25892857142857145,3.826436620940496,0.25892857142857145,0.8291680812835693,0.7875174283981323
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00050.jpg,False,31.360364001567728,0.43878352204177734,0.315135326583401,0.7363466722601992,3.128742797241272,0.1253872084548105,0.018467377871274948,0.0012120207538828254,0.2010350227355957,0.23341836734693877,3.771506583664878,0.23341836734693877,0.8140110969543457,0.7986376285552979
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00005.jpg,False,45.365801979227925,0.3778268466216805,0.26482034921620645,0.5450335095194596,3.212102468773381,0.11490980320699709,0.02519148215651512,0.003969503566622734,0.3152727484703064,0.2780612244897959,3.85226303860249,0.2780612244897959,0.7893162965774536,0.7918275594711304
